USI	Cosine	Matching Peaks	Status
mzspec:MSV000085870:PH697186_pos_IDA:scan:1999	0.98	4	NoID
mzspec:MSV000085870:PH697119_pos_IDA:scan:2191	0.98	4	NoID
mzspec:MSV000085870:PH697211_pos_IDA:scan:2149	0.98	4	NoID
mzspec:MSV000088420:2021_0117_03x_8uL:scan:4294967295	0.97	4	NoID
mzspec:MSV000085870:PH697217_pos_IDA:scan:2293	0.97	4	NoID
mzspec:MSV000085870:PH697215_pos_IDA:scan:2260	0.97	4	NoID
mzspec:MSV000085847:49_D9_M_B1_MSMS_Pos:scan:4294967295	0.96	4	NoID
mzspec:MSV000085847:3_D0_M_A3_MSMS_Pos:scan:4294967295	0.96	4	NoID
mzspec:MSV000085847:20_D6_M_A2_MSMS_Pos:scan:4294967295	0.96	4	NoID
mzspec:MSV000088420:2021_0117_02x_2uL:scan:4294967295	0.96	4	NoID
mzspec:MSV000085847:9_D0_M_C3_MSMS_Pos:scan:4294967295	0.96	4	NoID
mzspec:MSV000085870:PH697247_pos_IDA:scan:2247	0.96	4	NoID
mzspec:MSV000085847:2_D0_M_A2_MSMS_Pos:scan:4294967295	0.95	4	NoID
mzspec:MSV000085847:8_D0_M_C2_MSMS_Pos:scan:4294967295	0.95	4	NoID
mzspec:MSV000088420:2021_0119_04x_240min:scan:4294967295	0.95	4	NoID
mzspec:MSV000085870:PH697184_pos_IDA:scan:2009	0.95	4	NoID
mzspec:MSV000088420:2021_0117_04x_5uL:scan:4294967295	0.95	4	NoID
mzspec:MSV000088420:2021_0119_120min_04x_10uL_inj_02:scan:4294967295	0.95	4	NoID
mzspec:MSV000085847:38_D8_M_A2_MSMS_Pos:scan:4294967295	0.95	4	NoID
mzspec:MSV000088420:2021_0119_02x_240min:scan:4294967295	0.95	4	NoID
mzspec:MSV000085870:CS55606_pos_IDA:scan:1813	0.95	4	NoID
mzspec:MSV000088420:2021_0117_04x_15uL:scan:4294967295	0.95	4	NoID
mzspec:MSV000084314:MSV000088420:scan:43206	0.94	4	NoID
mzspec:MSV000085847:16_D5_M_C1_MSMS_Pos:scan:4294967295	0.94	4	NoID
mzspec:MSV000088420:2021_0117_04x_20uL:scan:4294967295	0.94	4	NoID
mzspec:MSV000085870:CS60106_pos_IDA:scan:2136	0.94	4	NoID
mzspec:MSV000088420:2021_0117_04x_12uL:scan:4294967295	0.94	4	NoID
mzspec:MSV000088420:2021_0117_02x_5uL:scan:4294967295	0.94	4	NoID
mzspec:MSV000088420:2021_0117_02x_12uL:scan:4294967295	0.94	4	NoID
mzspec:MSV000088420:2021_0117_03x_15uL:scan:4294967295	0.94	4	NoID
mzspec:MSV000088420:2021_0119_02x_150min:scan:4294967295	0.93	4	NoID
mzspec:MSV000088420:2021_0119_02x_180min:scan:4294967295	0.93	4	NoID
mzspec:MSV000088420:2021_0117_03x_5uL:scan:4294967295	0.93	4	NoID
mzspec:MSV000085847:56_D14_M_A2_MSMS_Pos:scan:4294967295	0.93	4	NoID
mzspec:MSV000088420:2021_0119_04x_180min:scan:4294967295	0.93	4	NoID
mzspec:MSV000088420:2021_0119_22min_02x_2uL_inj_01:scan:4294967295	0.93	4	NoID
mzspec:MSV000088420:2021_0117_02x_20uL:scan:4294967295	0.93	4	NoID
mzspec:MSV000088420:2021_0119_04x_150min:scan:4294967295	0.93	4	NoID
mzspec:MSV000088420:2021_0117_04x_2uL:scan:4294967295	0.93	4	NoID
mzspec:MSV000088420:2021_0117_03x_2uL:scan:4294967295	0.93	4	NoID
mzspec:MSV000088420:2021_0119_02x_120min:scan:4294967295	0.93	4	NoID
mzspec:MSV000085847:VRE_microbiome_LCMSMS_pos_02_NORMALISED:scan:3347	0.92	4	NoID
mzspec:MSV000088420:2021_0119_02x_60min:scan:4294967295	0.92	4	NoID
mzspec:MSV000088420:2021_0119_04x_120min:scan:4294967295	0.92	4	NoID
mzspec:MSV000088420:2021_0117_02x_8uL:scan:4294967295	0.92	4	NoID
mzspec:MSV000085847:VRE_microbiome_LCMSMS_pos_02:scan:3347	0.92	4	NoID
mzspec:MSV000088420:2021_0117_03x_10uL:scan:4294967295	0.92	4	NoID
mzspec:MSV000088420:2021_0119_120min_04x_10uL_inj_01:scan:4294967295	0.92	4	NoID
mzspec:MSV000088420:2021_0117_04x_8uL:scan:4294967295	0.92	4	NoID
mzspec:MSV000088420:2021_0119_02x_90min:scan:4294967295	0.91	4	NoID
mzspec:MSV000088420:2021_0117_02x_15uL:scan:4294967295	0.91	4	NoID
mzspec:MSV000088420:2021_0117_02x_10uL:scan:4294967295	0.91	4	NoID
mzspec:MSV000088420:2021_0117_03x_20uL:scan:4294967295	0.91	4	NoID
mzspec:MSV000085847:48_D9_M_A3_MSMS_Pos:scan:4294967295	0.9	5	NoID
mzspec:MSV000085870:PH697141_pos_IDA:scan:1955	0.9	4	NoID
mzspec:MSV000088420:2021_0117_03x_12uL:scan:4294967295	0.9	4	NoID
mzspec:MSV000088420:2021_0119_04x_90min:scan:4294967295	0.9	4	NoID
mzspec:MSV000085870:PH697098_pos_IDA:scan:2247	0.9	4	NoID
mzspec:MSV000080960:POS_HGH-E3:scan:4294967295	0.88	4	NoID
mzspec:MSV000088420:2021_0119_120min_04x_10uL_inj_06:scan:4294967295	0.88	4	NoID
mzspec:MSV000088420:2021_0117_04x_10uL:scan:4294967295	0.87	4	NoID
mzspec:MSV000080960:POS_UGH-I2:scan:4294967295	0.86	4	NoID
mzspec:MSV000080960:POS_HGH-D1:scan:4294967295	0.86	4	NoID
mzspec:MSV000085870:CS60557_pos_IDA:scan:1979	0.85	4	NoID
mzspec:MSV000083789:pos_Cd10MYY_37:scan:5599	0.84	4	NoID
mzspec:MSV000080960:POS_UGH-H2:scan:4294967295	0.83	4	NoID
mzspec:MSV000080960:POS_HGH-A2:scan:4294967295	0.81	4	NoID
mzspec:MSV000080960:POS_HGH-B3:scan:4294967295	0.81	4	NoID
mzspec:MSV000080960:POS_UGH-J2:scan:4294967295	0.8	4	NoID
mzspec:MSV000080960:POS_UGH-J1:scan:4294967295	0.8	4	NoID
mzspec:MSV000080960:POS_HGH-C3:scan:4294967295	0.8	4	NoID
mzspec:MSV000085862:Polar_diluted_QC3_5uL:scan:2414	0.8	4	NoID
mzspec:MSV000080960:POS_HGH-A3:scan:4294967295	0.79	4	NoID
